"","genes","pen$tagwise.dispersion"
"6010","Solyc03g097190.2.1",0.103149921392821
"1366","Solyc01g090190.2.1",0.0859296736420453
"4297","Solyc02g086160.2.1",0.331854702387869
"516","Solyc01g010050.2.1",0.15391807737473
"3241","Solyc02g067180.2.1",0.208762830001896
"5945","Solyc03g096000.2.1",0.233187855398326
"1950","Solyc01g099760.2.1",0.0654193146390871
"2169","Solyc01g103590.2.1",0.709079348983015
"10561","Solyc06g051200.2.1",0.295975959246833
"13155","Solyc07g065210.2.1",0.636326382587537
"17425","Solyc10g086180.1.1",0.218271266087842
"2012","Solyc01g100520.2.1",0.11947469254801
"1193","Solyc01g086750.2.1",0.110973442911709
"8754","Solyc05g005190.2.1",0.0965689651072154
"12688","Solyc07g053260.2.1",0.0369645237905604
"16719","Solyc10g050860.1.1",0.0526014775749073
"9406","Solyc05g017950.2.1",0.0583949751855668
"7025","Solyc03g123630.2.1",0.122659848867942
"5446","Solyc03g044150.2.1",0.119396306803231
"20070","Solyc12g098890.1.1",0.346211742307579
"8680","Solyc04g082420.2.1",0.463706938677456
"188","Solyc01g005210.2.1",0.160662754833607
"6367","Solyc03g114150.2.1",0.188303754255907
"5203","Solyc03g025270.2.1",0.367207216144276
"13681","Solyc08g041890.2.1",0.192875294749165
"4525","Solyc02g089260.2.1",0.184212074623557
